"Year"	"Normalised.Life.Expectancy"	"Country"
1840	0	"Sweden"
1843	0.0562837316885119	"Norway"
1848	0.075301978925726	"Norway"
1853	0.140837830891801	"Norway"
1858	0.154716011308147	"Norway"
1863	0.10254433307633	"Australia"
1868	0.126959650475456	"Norway"
1873	0.121819583654588	"Norway"
1876	0.218709843227962	"New Zealand"
1886	0.296838858905166	"New Zealand"
1893	0.318170136211771	"New Zealand"
1898	0.365972757645849	"New Zealand"
1903	0.381392958108455	"New Zealand"
1908	0.412490362374711	"New Zealand"
1913	0.456694937034181	"New Zealand"
1922	0.506810588537651	"New Zealand"
1926	0.536108969416602	"New Zealand"
1931	0.569776407093292	"New Zealand"
1936	0.584425597532768	"New Zealand"
1938	0.597018761243896	"Norway"
1946	0.65715754304806	"Norway"
1948	0.696222050886661	"Norway"
1949	0.70213312773066	"Norway"
1950	0.706759187869442	"Norway"
1951	0.752762785916217	"Iceland"
1952	0.752762785916217	"Iceland"
1953	0.753276792598304	"Iceland"
1954	0.754047802621434	"Iceland"
1955	0.759958879465433	"Norway"
1956	0.764841942945258	"Norway"
1957	0.765098946286302	"Norway"
1958	0.765098946286302	"Norway"
1959	0.771781033153431	"Norway"
1960	0.774094063222822	"Norway"
1961	0.783603186841429	"Iceland"
1962	0.783603186841429	"Iceland"
1963	0.783603186841429	"Iceland"
1964	0.785659213569776	"Netherlands"
1965	0.791056283731688	"Norway"
1966	0.796196350552557	"Norway"
1967	0.802878437419686	"Norway"
1968	0.799023387304035	"Norway"
1969	0.79568234387047	"Norway"
1970	0.812387561038293	"Norway"
1971	0.814443587766641	"Sweden"
1972	0.818041634541249	"Sweden"
1973	0.822667694680031	"Sweden"
1974	0.836545875096376	"Iceland"
1975	0.85479311231046	"Iceland"
1976	0.885119506553585	"Iceland"
1977	0.876381392958108	"Iceland"
1978	0.88177846312002	"Iceland"
1979	0.874325366229761	"Iceland"
1980	0.895399640195322	"Iceland"
1981	0.878951426368543	"Iceland"
1982	0.875610382934978	"Iceland"
1983	0.897712670264713	"Iceland"
1984	0.895913646877409	"Iceland"
1985	0.894114623490105	"Switzerland"
1986	0.904394757131843	"Japan"
1987	0.917244924184014	"Japan"
1988	0.91467489077358	"Japan"
1989	0.924955024415317	"Japan"
1990	0.927525057825752	"Japan"
1991	0.935492161398098	"Japan"
1992	0.938319198149576	"Japan"
1993	0.945772295039836	"Japan"
1994	0.957851452068877	"Japan"
1995	0.965047545618093	"Japan"
1996	0.97378565921357	"Japan"
1997	0.978925726034438	"Japan"
1998	0.984065792855307	"Japan"
1999	0.981495759444873	"Japan"
2000	1	"Japan"
