Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
21.563	84.391	3852	1283	7021678	1822.865	347.093	1765.500	1135	3459	18.417	19.424	15.648	0	0	0	0	0	0	0	0	0	0	0	0	particle0.tif
19.173	71.302	3425	1076	5659115	1652.296	281.987	1610	1020	2886	19.397	19.263	18.429	0	0	0	0	0	0	0	0	0	0	0	0	particle1.tif
27.474	89.750	4908	1425	6350047	1293.816	233.633	1259.000	806	2398	20.498	20.867	18.826	0	0	0	0	0	0	0	0	0	0	0	0	particle10.tif
21.737	91.966	3883	1399	4937162	1271.481	207.761	1238	764	2180	22.962	19.525	16.316	0	0	0	0	0	0	0	0	0	0	0	0	particle11.tif
17.359	65.963	3101	982	4494872	1449.491	240.777	1421	887	2414	23.582	21.884	16.393	0	0	0	0	0	0	0	0	0	0	0	0	particle12.tif
23.914	90.012	4272	1400	5704485	1335.320	198.820	1313.000	862	2132	24.434	23.294	16.627	0	0	0	0	0	0	0	0	0	0	0	0	particle13.tif
27.329	100.326	4882	1569	7042541	1442.552	255.390	1405	820	2436	21.493	22.669	17.169	0	0	0	0	0	0	0	0	0	0	0	0	particle15.tif
28.448	101.307	5082	1543	8734182	1718.651	418.948	1625	981	3640	19.329	23.262	17.608	0	0	0	0	0	0	0	0	0	0	0	0	particle16.tif
20.287	82.863	3624	1298	6073543	1675.922	316.229	1619	998	2851	24.605	24.101	14.997	0	0	0	0	0	0	0	0	0	0	0	0	particle2.tif
21.272	79.043	3800	1273	6233611	1640.424	284.600	1600	984	2934	23.469	22.850	18.414	0	0	0	0	0	0	0	0	0	0	0	0	particle3.tif
38.060	130.415	6799	2065	11448831	1683.899	322.088	1634	918	2821	21.588	22.129	18.815	0	0	0	0	0	0	0	0	0	0	0	0	particle4.tif
19.760	73.585	3530	1180	5524785	1565.095	278.070	1527	875	2840	23.502	23.007	15.406	0	0	0	0	0	0	0	0	0	0	0	0	particle5.tif
21.009	76.077	3753	1180	7495311	1997.152	450.901	1914	1129	3676	23.923	20.710	14.530	0	0	0	0	0	0	0	0	0	0	0	0	particle6.tif
20.253	83.176	3618	1276	5149502	1423.301	237.611	1387	904	2433	24.495	24.153	15.166	0	0	0	0	0	0	0	0	0	0	0	0	particle7.tif
23.220	80.522	4148	1263	5856691	1411.931	226.815	1383	824	2602	19.676	26.151	14.640	0	0	0	0	0	0	0	0	0	0	0	0	particle8.tif
12.623	50.408	2255	801	3752136	1663.918	286.748	1637.000	1042	2696	18.648	20.745	13.653	0	0	0	0	0	0	0	0	0	0	0	0	particle9.tif
