Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
13.329	48.762	2381	733	5717264	2401.203	432.852	2356	1489	3759	18.346	19.741	16.920	0	0	0	0	0	0	0	0	0	0	0	0	particle0.tif
13.071	44.024	2335	727	5813682	2489.800	465.071	2430	1559	4166	18.373	18.183	15.878	0	0	0	0	0	0	0	0	0	0	0	0	particle1.tif
16.614	61.730	2968	925	4912285	1655.083	312.177	1603.500	978	2842	20.522	18.713	17.987	0	0	0	0	0	0	0	0	0	0	0	0	particle10.tif
14.325	52.361	2559	829	4341289	1696.479	317.654	1653	934	2790	19.843	19.853	15.780	0	0	0	0	0	0	0	0	0	0	0	0	particle11.tif
16.687	63.177	2981	977	5291922	1775.217	306.465	1736.000	1111	2911	19.790	22.292	15.415	0	0	0	0	0	0	0	0	0	0	0	0	particle12.tif
14.342	52.997	2562	834	4899349	1912.314	379.767	1860.500	1121	3573	16.887	19.360	17.190	0	0	0	0	0	0	0	0	0	0	0	0	particle13.tif
19.637	76.169	3508	1211	7086280	2020.034	377.548	1969	1084	3277	18.077	18.195	17.468	0	0	0	0	0	0	0	0	0	0	0	0	particle14.tif
11.084	41.532	1980	654	4953895	2501.967	476.044	2427.500	1389	4225	20.570	16.630	15.969	0	0	0	0	0	0	0	0	0	0	0	0	particle15.tif
17.006	58.319	3038	923	6585261	2167.630	387.045	2118	1290	3575	19.966	18.536	16.141	0	0	0	0	0	0	0	0	0	0	0	0	particle2.tif
15.008	56.781	2681	866	5903333	2201.915	400.944	2152	1298	3497	18.333	21.426	15.725	0	0	0	0	0	0	0	0	0	0	0	0	particle3.tif
18.966	61.004	3388	984	6146963	1814.334	346.232	1762	1062	3295	19.852	19.540	18.335	0	0	0	0	0	0	0	0	0	0	0	0	particle4.tif
13.502	52.773	2412	825	5217789	2163.262	387.847	2123.500	1188	3509	18.343	21.167	15.837	0	0	0	0	0	0	0	0	0	0	0	0	particle5.tif
15.523	57.201	2773	931	5809355	2094.971	353.365	2060	1321	3247	20.823	20.044	15.695	0	0	0	0	0	0	0	0	0	0	0	0	particle6.tif
15.053	58.915	2689	947	4636063	1724.084	277.844	1691	1109	2884	20.535	23.167	15.026	0	0	0	0	0	0	0	0	0	0	0	0	particle7.tif
12.931	46.278	2310	727	4896711	2119.788	405.340	2071.500	1106	3529	18.081	20.717	13.307	0	0	0	0	0	0	0	0	0	0	0	0	particle8.tif
14.498	52.548	2590	822	4691124	1811.245	317.443	1771	1150	3170	18.502	20.354	16.326	0	0	0	0	0	0	0	0	0	0	0	0	particle9.tif
