Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
13.625	49.940	2434	796	4456955	1831.124	286.934	1811.000	1081	2863	20.852	22.722	16.064	0	0	0	0	0	0	0	0	0	0	0	0	particle0.tif
13.804	48.064	2466	790	4220983	1711.672	291.109	1668	978	2912	22.395	22.657	14.929	0	0	0	0	0	0	0	0	0	0	0	0	particle1.tif
15.680	57.377	2801	847	4017237	1434.215	248.659	1404.000	854	2296	20.336	25.981	16.297	0	0	0	0	0	0	0	0	0	0	0	0	particle10.tif
19.329	67.031	3453	1082	4542694	1315.579	207.991	1293	773	2152	22.911	22.725	16.837	0	0	0	0	0	0	0	0	0	0	0	0	particle11.tif
16.732	60.956	2989	918	3786416	1266.784	212.535	1237	706	2121	21.084	23.522	17.928	0	0	0	0	0	0	0	0	0	0	0	0	particle12.tif
22.912	95.404	4093	1446	4850526	1185.078	196.864	1157.000	733	2038	21.119	21.364	18.673	0	0	0	0	0	0	0	0	0	0	0	0	particle13.tif
13.189	52.220	2356	772	3458064	1467.769	276.704	1419.000	860	2412	22.856	22.744	12.874	0	0	0	0	0	0	0	0	0	0	0	0	particle14.tif
18.148	65.748	3242	1010	4021230	1240.355	204.917	1217.500	757	2117	19.521	26.792	16.675	0	0	0	0	0	0	0	0	0	0	0	0	particle15.tif
14.470	55.603	2585	853	4450587	1721.697	342.612	1657.000	1006	3019	23.581	22.904	15.602	0	0	0	0	0	0	0	0	0	0	0	0	particle2.tif
15.232	55.762	2721	896	4646872	1707.781	277.258	1681	1014	2635	21.044	22.687	15.993	0	0	0	0	0	0	0	0	0	0	0	0	particle3.tif
18.624	71.608	3327	1105	5150443	1548.074	261.614	1508.000	899	2574	20.932	24.445	18.302	0	0	0	0	0	0	0	0	0	0	0	0	particle4.tif
16.850	61.212	3010	970	4886509	1623.425	279.996	1587.000	961	2566	22.770	23.928	16.681	0	0	0	0	0	0	0	0	0	0	0	0	particle5.tif
18.814	69.446	3361	1043	4693471	1396.451	234.404	1360.000	849	2347	22.179	24.603	14.649	0	0	0	0	0	0	0	0	0	0	0	0	particle6.tif
15.097	60.010	2697	946	4375003	1622.174	269.543	1592	1013	2639	24.392	24.653	16.277	0	0	0	0	0	0	0	0	0	0	0	0	particle7.tif
26.635	105.263	4758	1646	6900202	1450.232	290.643	1389.500	808	2724	23.906	24.965	19.897	0	0	0	0	0	0	0	0	0	0	0	0	particle8.tif
12.209	44.491	2181	678	3923191	1798.804	312.404	1770	1037	2896	20.103	23.925	15.109	0	0	0	0	0	0	0	0	0	0	0	0	particle9.tif
