Volume (micron^3)	Surface (micron^2)	Nb of obj. voxels	Nb of surf. voxels	IntDen	Mean	StdDev	Median	Min	Max	X	Y	Z	Mean dist. to surf. (micron)	SD dist. to surf. (micron)	Median dist. to surf. (micron)	XM	YM	ZM	BX	BY	BZ	B-width	B-height	B-depth
17.835	69.035	3186	1075	6137219	1926.309	419.233	1846.500	981	3288	20.391	21.006	15.409	0	0	0	0	0	0	0	0	0	0	0	0	particle0.tif
15.109	60.495	2699	954	5184636	1920.947	353.711	1867	1156	3297	23.811	22.072	15.349	0	0	0	0	0	0	0	0	0	0	0	0	particle1.tif
18.126	62.745	3238	967	5425199	1675.478	345.055	1608.000	1018	3124	24.202	23.860	16.747	0	0	0	0	0	0	0	0	0	0	0	0	particle10.tif
16.167	62.268	2888	971	4349584	1506.089	254.005	1466	923	2701	24.422	21.242	15.809	0	0	0	0	0	0	0	0	0	0	0	0	particle11.tif
10.395	46.003	1857	678	3333075	1794.871	339.802	1734	1133	3007	21.002	27.220	16.338	0	0	0	0	0	0	0	0	0	0	0	0	particle12.tif
26.741	78.616	4777	1304	6727568	1408.325	289.982	1357.000	749	2441	23.147	25.265	19.457	0	0	0	0	0	0	0	0	0	0	0	0	particle13.tif
15.333	57.149	2739	888	4247690	1550.818	282.351	1501	925	2583	26.439	22.197	16.812	0	0	0	0	0	0	0	0	0	0	0	0	particle14.tif
22.951	87.513	4100	1318	4924162	1201.015	198.909	1173.500	738	2092	24.239	23.408	15.508	0	0	0	0	0	0	0	0	0	0	0	0	particle15.tif
12.035	46.889	2150	712	3544904	1648.793	298.027	1615.000	1044	2666	20.050	22.893	14.264	0	0	0	0	0	0	0	0	0	0	0	0	particle16.tif
19.033	76.971	3400	1133	4554577	1339.581	233.404	1308	778	2257	24.778	23.952	14.187	0	0	0	0	0	0	0	0	0	0	0	0	particle17.tif
19.447	90.189	3474	1424	4564843	1314.002	217.320	1277	778	2262	28.073	21.134	13.596	0	0	0	0	0	0	0	0	0	0	0	0	particle18.tif
14.157	55.911	2529	875	5198788	2055.669	437.333	1967	1216	3583	20.363	20.998	15.056	0	0	0	0	0	0	0	0	0	0	0	0	particle2.tif
18.809	69.644	3360	1129	5543625	1649.888	319.429	1586.500	998	2949	23.647	21.745	15.646	0	0	0	0	0	0	0	0	0	0	0	0	particle3.tif
19.022	74.483	3398	1119	5743069	1690.132	333.004	1638	1036	2858	22.680	19.674	18.059	0	0	0	0	0	0	0	0	0	0	0	0	particle4.tif
14.599	55.334	2608	883	4746607	1820.018	339.426	1778.500	1119	3096	22.008	20.654	14.356	0	0	0	0	0	0	0	0	0	0	0	0	particle5.tif
14.017	52.047	2504	789	4718066	1884.212	340.936	1842.500	1122	3249	20.618	24.510	16.032	0	0	0	0	0	0	0	0	0	0	0	0	particle6.tif
18.770	69.569	3353	1151	5484219	1635.616	281.861	1595	1011	2644	20.781	22.104	16.303	0	0	0	0	0	0	0	0	0	0	0	0	particle7.tif
16.491	55.837	2946	908	5407168	1835.427	339.515	1797	1123	3124	24.782	23.387	17.295	0	0	0	0	0	0	0	0	0	0	0	0	particle8.tif
19.150	68.556	3421	1158	5923396	1731.481	308.088	1696.000	1013	2909	23.008	22.694	16.790	0	0	0	0	0	0	0	0	0	0	0	0	particle9.tif
